Regionname,Suburb,Propertycount,Address,CouncilArea,Postcode,Distance,BrokerAgent,Date,Longtitude,Lattitude,Method,Type,Rooms,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,Price
Western Metropolitan,Airport West,3464,145a Victory Rd,Moonee Valley,3042,13.5,Barry,24-06-2016,144.8787,-37.7177,S,u,2,2,1,1,192,,,440000
Western Metropolitan,Airport West,3464,241 Parer Rd,Moonee Valley,3042,13.5,Propertyau,25-06-2016,144.8699,-37.7248,PI,h,5,3,2,2,596,,,755000
Western Metropolitan,Airport West,3464,2/40 Earl St,Moonee Valley,3042,13.5,Brad,26-06-2016,144.887,-37.727,PI,t,3,3,2,2,165,133,2009,700000
Western Metropolitan,Airport West,3464,180 Parer Rd,Moonee Valley,3042,13.5,Barry,27-06-2016,144.876,-37.7186,S,h,3,3,1,2,971,113,1960,830000
Western Metropolitan,Airport West,3464,4/54 Hawker St,Moonee Valley,3042,13.5,Barry,28-06-2016,144.8863,-37.7218,S,u,2,2,1,1,164,,2003,462500
Western Metropolitan,Airport West,3464,43 Hillside Gr,Moonee Valley,3042,13.5,Barry,29-06-2016,144.8742,-37.7269,SP,h,3,3,2,2,657,,,670000
Western Metropolitan,Airport West,3464,174 Parer Rd,Moonee Valley,3042,13.5,Barry,30-06-2016,144.8765,-37.7187,S,h,2,2,1,1,612,100,1975,675000
Western Metropolitan,Airport West,3464,138 Victory Rd,Moonee Valley,3042,13.5,Nelson,01-07-2016,144.8796,-37.7173,S,h,3,3,2,5,612,174,1950,1042000
Western Metropolitan,Airport West,3464,75 King St,Moonee Valley,3042,13.5,McDonald,02-07-2016,144.8835,-37.7231,S,h,3,3,1,1,775,,,910000
Western Metropolitan,Airport West,3464,6 Kittyhawk St,Moonee Valley,3042,13.5,Brad,03-07-2016,144.8679,-37.7263,S,h,4,5,3,4,531,309,1980,773000
Western Metropolitan,Airport West,3464,478 Fullarton Rd,Moonee Valley,3042,13.5,Barry,04-07-2016,144.8694,-37.7285,PI,h,3,3,3,2,555,192,1980,810000
Western Metropolitan,Airport West,3464,144 Marshall Rd,Moonee Valley,3042,13.5,Rendina,05-07-2016,144.8792,-37.7164,S,h,3,3,2,2,422,126,1995,715000
Western Metropolitan,Airport West,3464,106 Parer Rd,Moonee Valley,3042,13.5,Nelson,06-07-2016,144.8827,-37.7194,S,h,3,3,1,3,614,,,790000
Western Metropolitan,Airport West,3464,3/7 South Rd,Moonee Valley,3042,13.5,Nelson,07-07-2016,144.8802,-37.7231,SP,t,3,2,2,1,161,101,2010,540000
Western Metropolitan,Airport West,3464,37 North St,Moonee Valley,3042,13.5,Barry,08-07-2016,144.8776,-37.72,SP,t,3,3,2,1,293,102,1960,825000
Western Metropolitan,Airport West,3464,10 Hilbert Rd,Moonee Valley,3042,13.5,Barry,09-07-2016,144.8733,-37.7226,S,h,3,3,1,1,579,113,1975,685000
Western Metropolitan,Airport West,3464,110 Halsey Rd,Moonee Valley,3042,13.5,Barry,10-07-2016,144.882,-37.7184,S,h,3,3,1,1,623,,,805000
Western Metropolitan,Airport West,3464,2/13 North St,Moonee Valley,3042,13.5,Nelson,11-07-2016,144.8797,-37.7202,S,u,2,2,1,1,141,76,,510000
Western Metropolitan,Airport West,3464,105a Victory Rd,Moonee Valley,3042,13.5,Nelson,12-07-2016,144.8824,-37.7181,S,h,3,3,2,1,212,,,612000
Western Metropolitan,Airport West,3464,117 Marshall Rd,Moonee Valley,3042,13.5,Brad,13-07-2016,144.8815,-37.7169,S,h,3,3,1,2,612,,,662000
Western Metropolitan,Airport West,3464,34 Moorna Dr,Moonee Valley,3042,13.5,Nelson,14-07-2016,144.869,-37.7263,S,h,4,4,3,2,532,,,978000
Western Metropolitan,Airport West,3464,33 North St,Moonee Valley,3042,13.5,Nelson,15-07-2016,144.878,-37.72,PI,h,3,3,1,1,585,,,720000
Western Metropolitan,Airport West,3464,49 Roberts Rd,Moonee Valley,3042,13.5,Prof.,16-07-2016,144.8785,-37.7261,S,h,4,4,1,2,509,,,765000
Western Metropolitan,Airport West,3464,85 Roberts Rd,Moonee Valley,3042,13.5,Harcourts,17-07-2016,144.8739,-37.7256,S,h,4,4,2,3,628,146,1975,900000
Southern Metropolitan,Albert Park,3280,105 Kerferd Rd,Port Phillip,3206,3.3,hockingstuart,18-07-2016,144.9555,-37.8459,S,h,2,2,1,0,120,82,1900,1275000
Southern Metropolitan,Albert Park,3280,85 Richardson St,Port Phillip,3206,3.3,Thomson,19-07-2016,144.9538,-37.845,S,h,2,2,1,0,159,,,1455000
Southern Metropolitan,Albert Park,3280,112 Beaconsfield Pde,Port Phillip,3206,3.3,Buxton,20-07-2016,144.9499,-37.8481,PI,h,3,3,2,0,211,198,1890,2850000
Southern Metropolitan,Albert Park,3280,94 Graham St,Port Phillip,3206,3.3,Greg,21-07-2016,144.9488,-37.8452,S,h,3,3,2,0,128,133,1890,1850000
Southern Metropolitan,Albert Park,3280,396 Montague St,Port Phillip,3206,3.3,RT,22-07-2016,144.9565,-37.8431,S,h,2,2,1,0,130,81,1900,1436000
Southern Metropolitan,Albert Park,3280,75 Graham St,Port Phillip,3206,3.3,Marshall,23-07-2016,144.9484,-37.8444,S,h,2,1,1,0,147,,1900,1110000
Southern Metropolitan,Albert Park,3280,54 Brooke St,Port Phillip,3206,3.3,Sotheby's,24-07-2016,144.9521,-37.8405,S,h,2,2,1,1,167,,,1550000
Southern Metropolitan,Albert Park,3280,104 Richardson St,Port Phillip,3206,3.3,Marshall,25-07-2016,144.9523,-37.8447,S,h,4,4,2,1,153,180,1880,2300000
Southern Metropolitan,Albert Park,3280,4a Mills St,Port Phillip,3206,3.3,Marshall,26-07-2016,144.9598,-37.8443,VB,t,3,3,2,2,718,,,1550000
Southern Metropolitan,Albert Park,3280,1 Moubray St,Port Phillip,3206,3.3,Greg,27-07-2016,144.952,-37.8415,VB,h,3,3,2,1,132,159,1996,1800000
Southern Metropolitan,Albert Park,3280,29 Faussett St,Port Phillip,3206,3.3,Greg,28-07-2016,144.9554,-37.8422,S,h,2,2,1,1,199,107,1900,2120000
Southern Metropolitan,Albert Park,3280,3 Herbert St,Port Phillip,3206,3.3,Cayzer,29-07-2016,144.9579,-37.8443,VB,h,3,3,1,1,253,,,1800000
Southern Metropolitan,Albert Park,3280,24 Kerferd Pl,Port Phillip,3206,3.3,Marshall,30-07-2016,144.9571,-37.8421,S,h,3,3,2,1,90,122,1900,1800000
Southern Metropolitan,Albert Park,3280,44 Draper St,Port Phillip,3206,3.3,Greg,31-07-2016,144.9539,-37.8379,PI,h,2,2,1,0,240,,,1810000
Southern Metropolitan,Albert Park,3280,2 Dundas Pl,Port Phillip,3206,3.3,Cayzer,01-08-2016,144.9585,-37.8415,S,h,3,3,2,1,177,181,1880,2615000
Southern Metropolitan,Albert Park,3280,23 Finlay St,Port Phillip,3206,3.3,Greg,02-08-2016,144.9557,-37.8436,S,h,5,5,2,1,237,,,2100000
Southern Metropolitan,Albert Park,3280,31 Richardson St,Port Phillip,3206,3.3,hockingstuart,03-08-2016,144.949,-37.8422,S,h,3,3,1,0,129,,,1300000
Southern Metropolitan,Albert Park,3280,4a Gatehouse La,Port Phillip,3206,3.3,Greg,04-08-2016,144.9511,-37.8451,S,h,3,3,2,2,0,85,2000,1370000
Southern Metropolitan,Albert Park,3280,60 Brooke St,Port Phillip,3206,3.3,Cayzer,05-08-2016,144.9523,-37.8407,S,h,2,2,1,0,288,,,1000000
Southern Metropolitan,Albert Park,3280,70 Barrett St,Port Phillip,3206,3.3,Greg,06-08-2016,144.9501,-37.8445,S,h,3,3,2,1,228,,,2575000
Southern Metropolitan,Albert Park,3280,65 Graham St,Port Phillip,3206,3.3,Greg,07-08-2016,144.9481,-37.8443,S,h,2,2,1,0,149,98,1890,1322500
Southern Metropolitan,Albert Park,3280,364 Montague St,Port Phillip,3206,3.3,Greg,08-08-2016,144.9562,-37.8424,S,h,2,2,1,0,141,83,1890,1562500
Southern Metropolitan,Albert Park,3280,86 Mills St,Port Phillip,3206,3.3,RT,09-08-2016,144.9575,-37.847,VB,h,3,3,2,1,211,147,1900,2000000
Southern Metropolitan,Albert Park,3280,129 Kerferd Rd,Port Phillip,3206,3.3,Greg,10-08-2016,144.9546,-37.8468,S,h,3,3,1,0,209,,1900,1900000
Southern Metropolitan,Albert Park,3280,97 Page St,Port Phillip,3206,3.3,Greg,11-08-2016,144.9551,-37.8473,S,h,3,3,2,0,147,146,1890,3010000
Southern Metropolitan,Albert Park,3280,55 Withers St,Port Phillip,3206,3.3,Cayzer,12-08-2016,144.9475,-37.8467,VB,h,4,4,3,1,327,254,1910,2800000
Southern Metropolitan,Albert Park,3280,10/140 Kerferd Rd,Port Phillip,3206,3.3,Greg,13-08-2016,144.9542,-37.846,S,u,2,2,1,1,0,,,647000
Southern Metropolitan,Albert Park,3280,55 Merton St,Port Phillip,3206,3.3,Marshall,14-08-2016,144.9546,-37.8427,SP,h,3,2,1,1,120,123,1900,2100000
Southern Metropolitan,Albert Park,3280,49 Page St,Port Phillip,3206,3.3,Marshall,15-08-2016,144.9528,-37.8461,PI,h,3,3,1,1,238,131,1890,2000000
Southern Metropolitan,Albert Park,3280,13/52 Moubray St,Port Phillip,3206,3.3,Marshall,16-08-2016,144.9517,-37.8421,S,u,1,1,1,0,0,34,1970,442500
Southern Metropolitan,Albert Park,3280,115 Page St,Port Phillip,3206,3.3,Marshall,17-08-2016,144.9558,-37.8477,S,h,4,4,2,1,330,207,1910,4735000
Southern Metropolitan,Albert Park,3280,32 Page St,Port Phillip,3206,3.3,Greg,18-08-2016,144.9517,-37.846,S,h,2,2,1,0,136,,,1340000
Southern Metropolitan,Albert Park,3280,34 Richardson St,Port Phillip,3206,3.3,hockingstuart,19-08-2016,144.9493,-37.8429,S,h,3,3,1,1,202,,,1801000
Southern Metropolitan,Albert Park,3280,2b Dundas Pl,Port Phillip,3206,3.3,Chisholm,20-08-2016,144.9585,-37.8415,S,h,3,3,3,1,0,,,1532000
Southern Metropolitan,Albert Park,3280,22 Greig St,Port Phillip,3206,3.3,Greg,21-08-2016,144.95,-37.8413,S,h,3,3,2,2,325,,,3755000
Southern Metropolitan,Albert Park,3280,27 Barrett St,Port Phillip,3206,3.3,Greg,22-08-2016,144.9495,-37.8434,S,h,4,3,2,1,183,145,1880,2140000
Southern Metropolitan,Albert Park,3280,44 Greig St,Port Phillip,3206,3.3,Marshall,23-08-2016,144.9488,-37.8416,S,h,2,2,1,1,162,,,1750000
Southern Metropolitan,Albert Park,3280,6 Brooke St,Port Phillip,3206,3.3,Greg,24-08-2016,144.9519,-37.8387,S,h,2,2,1,0,79,68,1890,980000
Southern Metropolitan,Albert Park,3280,227a Danks St,Port Phillip,3206,3.3,hockingstuart,25-08-2016,144.9551,-37.8488,S,h,3,3,2,0,152,,,2030000
Southern Metropolitan,Albert Park,3280,17 Reed St,Port Phillip,3206,3.3,Marshall,26-08-2016,144.9453,-37.8448,PI,h,3,3,2,2,147,134,1890,1740000
Southern Metropolitan,Albert Park,3280,74 Bridport St,Port Phillip,3206,3.3,Buxton,27-08-2016,144.9577,-37.8399,VB,h,3,3,3,1,0,,,2800000
Southern Metropolitan,Albert Park,3280,9 Durham St,Port Phillip,3206,3.3,Marshall,28-08-2016,144.9497,-37.8411,S,h,1,1,1,0,81,54,1900,985000
Northern Metropolitan,Alphington,2211,6 Smith St,Darebin,3078,6.4,Brace,29-08-2016,145.0318,-37.7707,S,h,4,3,2,4,853,263,1930,2000000
Northern Metropolitan,Alphington,2211,5/6 Yarralea St,Yarra,3078,6.4,Jellis,30-08-2016,145.0325,-37.7854,S,h,3,3,2,2,208,,2013,1110000
Northern Metropolitan,Alphington,2211,136A Fulham Rd,Darebin,3078,6.4,Jellis,31-08-2016,145.0279,-37.7713,S,h,3,3,2,2,411,,,1492000
Northern Metropolitan,Alphington,2211,44 Shiers St,Darebin,3078,6.4,Collins,01-09-2016,145.031,-37.7717,S,h,4,4,2,1,599,203,1925,1717500
Northern Metropolitan,Alphington,2211,83 Fulham Rd,Darebin,3078,6.4,Nelson,02-09-2016,145.0268,-37.775,S,h,5,5,4,4,809,165,1910,2840000
Northern Metropolitan,Alphington,2211,3/19 Harker St,Darebin,3078,6.4,Miles,03-09-2016,145.0306,-37.7791,S,u,2,2,1,1,88,60,1960,525500
Northern Metropolitan,Alphington,2211,4/2 Miller St,Darebin,3078,6.4,Miles,04-09-2016,145.0308,-37.7804,S,t,2,2,2,3,155,140,2004,805000
Northern Metropolitan,Alphington,2211,2/5 Yarana Rd,Darebin,3078,6.4,McGrath,05-09-2016,145.0314,-37.7773,S,u,2,2,1,1,0,,,465000
Northern Metropolitan,Alphington,2211,815 Heidelberg Rd,Darebin,3078,6.4,hockingstuart,06-09-2016,145.0341,-37.78,PI,h,3,3,3,2,686,,,2000000
Northern Metropolitan,Alphington,2211,44 Naroon Rd,Darebin,3078,6.4,Nelson,07-09-2016,145.0288,-37.7755,S,h,3,3,1,2,592,,,1540000
Northern Metropolitan,Alphington,2211,3/98 Grange Rd,Darebin,3078,6.4,Nelson,08-09-2016,145.0264,-37.7747,S,u,2,2,1,1,183,,,820000
Northern Metropolitan,Alphington,2211,10 Bennett St,Darebin,3078,6.4,Nelson,09-09-2016,145.0316,-37.7743,S,h,4,4,2,2,606,112,1970,1830000
Northern Metropolitan,Alphington,2211,38 Bennett St,Darebin,3078,6.4,Nelson,10-09-2016,145.0319,-37.7723,S,h,4,4,2,2,575,271,2008,2100000
Northern Metropolitan,Alphington,2211,2c Hamilton St,Darebin,3078,6.4,hockingstuart,11-09-2016,145.0243,-37.7802,SP,h,3,3,1,1,180,131,2010,865000
Northern Metropolitan,Alphington,2211,5/5 Yarana Rd,Darebin,3078,6.4,Nelson,12-09-2016,145.0314,-37.7773,VB,u,2,2,1,1,0,60,1960,390000
Northern Metropolitan,Alphington,2211,7/7 Chandler Hwy,Yarra,3078,6.4,Brace,13-09-2016,145.025,-37.7848,SP,t,2,0,1,0,0,,,650000
Northern Metropolitan,Alphington,2211,1/14 Fulham Rd,Darebin,3078,6.4,Love,14-09-2016,145.0262,-37.7805,S,u,2,2,1,1,0,61,1965,512000
Northern Metropolitan,Alphington,2211,22 Lowther St,Yarra,3078,6.4,Barry,15-09-2016,145.029,-37.7792,S,h,3,3,1,2,979,,,1165000
Northern Metropolitan,Alphington,2211,11 Margaret Gr,Yarra,3078,6.4,McGrath,16-09-2016,145.0225,-37.7844,SP,h,4,4,2,2,556,272,1930,1900000
Northern Metropolitan,Alphington,2211,6 Naroon Rd,Darebin,3078,6.4,McGrath,17-09-2016,145.0284,-37.7781,SP,h,3,3,0,0,597,,,1485000
Northern Metropolitan,Alphington,2211,42 Shiers St,Darebin,3078,6.4,Jellis,18-09-2016,145.0309,-37.7719,S,h,4,4,2,3,589,210,1920,1950000
Western Metropolitan,Altona,5301,158 Queen St,Hobsons Bay,3018,13.8,Greg,19-09-2016,144.825,-37.87,VB,h,3,3,2,1,352,242,2015,520000
Western Metropolitan,Altona,5301,59 Bracken Gr,Hobsons Bay,3018,13.8,Greg,20-09-2016,144.8105,-37.8721,S,h,5,5,3,3,729,268,2005,1525000
Western Metropolitan,Altona,5301,1/123 Blyth St,Hobsons Bay,3018,13.8,hockingstuart,21-09-2016,144.8197,-37.8687,S,t,2,2,1,2,292,125,2013,720000
Western Metropolitan,Altona,5301,4 Blyth St,Hobsons Bay,3018,13.8,Barlow,22-09-2016,144.8375,-37.8693,S,h,3,3,1,2,506,120,1930,1120000
Western Metropolitan,Altona,5301,20 Linnet St,Hobsons Bay,3018,13.8,Sweeney,23-09-2016,144.8154,-37.868,PI,h,4,4,1,4,655,,,780000
Western Metropolitan,Altona,5301,29 Rose St,Hobsons Bay,3018,13.8,Greg,24-09-2016,144.819,-37.8681,SP,h,4,4,3,6,1057,220,1962,1780000
Western Metropolitan,Altona,5301,1/170 Blyth St,Hobsons Bay,3018,13.8,Barlow,25-09-2016,144.8143,-37.8702,S,u,3,2,1,2,311,94,1955,630000
Western Metropolitan,Altona,5301,5/35 Grieve Pde,Hobsons Bay,3018,13.8,hockingstuart,26-09-2016,144.8171,-37.8693,SP,u,2,2,1,1,65,,,406000
Western Metropolitan,Altona,5301,156 Maidstone St,Hobsons Bay,3018,13.8,Greg,27-09-2016,144.8116,-37.8616,VB,h,3,3,1,1,602,123,1955,660000
Western Metropolitan,Altona,5301,11 Keeshan Ct,Hobsons Bay,3018,13.8,Greg,28-09-2016,144.817,-37.8594,S,h,3,3,1,1,530,,,683500
Western Metropolitan,Altona,5301,1/136 Queen St,Hobsons Bay,3018,13.8,Barlow,29-09-2016,144.827,-37.8696,S,u,2,2,1,1,225,93,1988,580000
Western Metropolitan,Altona,5301,173 Queen St,Hobsons Bay,3018,13.8,hockingstuart,30-09-2016,144.8249,-37.8697,S,h,3,3,1,4,777,22,1953,1335000
Western Metropolitan,Altona,5301,1/265 Queen St,Hobsons Bay,3018,13.8,hockingstuart,01-10-2016,144.8143,-37.8734,SP,t,3,3,2,2,280,,1997,800000
Western Metropolitan,Altona,5301,3/26 Grieve Pde,Hobsons Bay,3018,13.8,Village,02-10-2016,144.8182,-37.8686,S,u,2,2,1,1,127,76,1990,510000
Western Metropolitan,Altona,5301,261 Queen St,Hobsons Bay,3018,13.8,Barlow,03-10-2016,144.8147,-37.8733,S,h,4,4,2,2,695,,,1070000
Western Metropolitan,Altona,5301,4/5 Rose St,Hobsons Bay,3018,13.8,hockingstuart,04-10-2016,144.8185,-37.871,S,u,2,2,1,2,115,57,1980,425000
Western Metropolitan,Altona,5301,1/60 David St,Hobsons Bay,3018,13.8,Jas,05-10-2016,144.827,-37.8646,S,u,3,3,2,2,230,,,605000
Western Metropolitan,Altona,5301,1A Merritt Ct,Hobsons Bay,3018,13.8,hockingstuart,06-10-2016,144.8181,-37.8579,S,t,3,3,2,2,197,152,,705000
Western Metropolitan,Altona,5301,4/31 Millers Rd,Hobsons Bay,3018,13.8,Greg,07-10-2016,144.8384,-37.8678,SP,u,2,2,1,1,0,65,1965,391000
Western Metropolitan,Altona,5301,111/112 Pier St,Hobsons Bay,3018,13.8,hockingstuart,08-10-2016,144.831,-37.8659,SP,u,2,2,1,1,0,,,440000
